VariableCode,RegionCode,YearCode,AggValue
rgdpe,ABW,1970,400.08172607421900000
pop,ABW,1970,0.05906300000000000
rgdpe,ABW,1980,955.63214111328100000
pop,ABW,1980,0.06009600000000000
rgdpe,ABW,1990,2575.25561523438000000
pop,ABW,1990,0.06214900000000000
rgdpe,ABW,2000,4031.13427734375000000
pop,ABW,2000,0.09085300000000000
rgdpe,ABW,2010,4012.71166992188000000
pop,ABW,2010,0.10166900000000000
rgdpe,ABW,2017,3979.91040039063000000
pop,ABW,2017,0.10536600000000000
rgdpe,AGO,1970,28969.10937500000000000
pop,AGO,1970,5.89036500000000000
rgdpe,AGO,1980,30380.06640625000000000
pop,AGO,1980,8.34128900000000000
rgdpe,AGO,1990,36310.55468750000000000
pop,AGO,1990,11.84838600000000000
rgdpe,AGO,2000,40896.87890625000000000
pop,AGO,2000,16.39547300000000000
rgdpe,AGO,2010,140742.28125000000000000
pop,AGO,2010,23.35624600000000000
rgdpe,AGO,2017,223326.73437500000000000
pop,AGO,2017,29.81676600000000000
rgdpe,AIA,1970,61.81900405883790000
pop,AIA,1970,0.00677100000000000
rgdpe,AIA,1980,90.26071166992190000
pop,AIA,1980,0.00728500000000000
rgdpe,AIA,1990,206.07293701171900000
pop,AIA,1990,0.00889900000000000
rgdpe,AIA,2000,301.92532348632800000
pop,AIA,2000,0.01125200000000000
rgdpe,AIA,2010,408.89151000976600000
pop,AIA,2010,0.01343800000000000
rgdpe,AIA,2017,340.55114746093800000
pop,AIA,2017,0.01458400000000000
rgdpe,ALB,1970,6681.82861328125000000
pop,ALB,1970,2.15070700000000000
rgdpe,ALB,1980,9974.77441406250000000
pop,ALB,1980,2.68269000000000000
rgdpe,ALB,1990,12005.75683593750000000
pop,ALB,1990,3.28607300000000000
rgdpe,ALB,2000,15180.88085937500000000
pop,ALB,2000,3.12924300000000000
rgdpe,ALB,2010,29490.84570312500000000
pop,ALB,2010,2.94802300000000000
rgdpe,ALB,2017,33842.15625000000000000
pop,ALB,2017,2.88416900000000000
rgdpe,ARE,1970,66494.37500000000000000
pop,ARE,1970,0.23451400000000000
rgdpe,ARE,1980,248221.70312500000000000
pop,ARE,1980,1.01950900000000000
rgdpe,ARE,1990,226935.60937500000000000
pop,ARE,1990,1.82843200000000000
rgdpe,ARE,2000,342881.00000000000000000
pop,ARE,2000,3.13406200000000000
rgdpe,ARE,2010,565722.18750000000000000
pop,ARE,2010,8.54998800000000000
rgdpe,ARE,2017,647360.50000000000000000
pop,ARE,2017,9.48720300000000000
rgdpe,ARG,1950,50303.95312500000000000
pop,ARG,1950,17.09182388785010000
rgdpe,ARG,1960,66827.48437500000000000
pop,ARG,1960,20.54567357217460000
rgdpe,ARG,1970,96633.68750000000000000
pop,ARG,1970,23.88056100000000000
rgdpe,ARG,1980,130205.01562500000000000
pop,ARG,1980,27.89652800000000000
rgdpe,ARG,1990,196718.68750000000000000
pop,ARG,1990,32.61865100000000000
rgdpe,ARG,2000,528719.31250000000000000
pop,ARG,2000,36.87078700000000000
rgdpe,ARG,2010,787148.62500000000000000
pop,ARG,2010,40.89575200000000000
rgdpe,ARG,2017,1026128.12500000000000000
pop,ARG,2017,43.93714000000000000
rgdpe,ARM,1990,23707.37304687500000000
pop,ARM,1990,3.53817100000000000
rgdpe,ARM,2000,10087.34179687500000000
pop,ARM,2000,3.06959100000000000
rgdpe,ARM,2010,23668.73632812500000000
pop,ARM,2010,2.87731900000000000
rgdpe,ARM,2017,36337.19921875000000000
pop,ARM,2017,2.94479100000000000
rgdpe,ATG,1970,306.77230834960900000
pop,ATG,1970,0.06417700000000000
rgdpe,ATG,1980,440.15182495117200000
pop,ATG,1980,0.06186500000000000
rgdpe,ATG,1990,845.25756835937500000
pop,ATG,1990,0.06252800000000000
rgdpe,ATG,2000,1268.59997558594000000
pop,ATG,2000,0.07601600000000000
rgdpe,ATG,2010,1848.08544921875000000
pop,ATG,2010,0.08802800000000000
rgdpe,ATG,2017,1817.42102050781000000
pop,ATG,2017,0.09542600000000000
rgdpe,AUS,1950,122176.42187500000000000
pop,AUS,1950,8.35410617339282000
rgdpe,AUS,1960,161635.51562500000000000
pop,AUS,1960,10.47001891669600000
rgdpe,AUS,1970,269214.03125000000000000
pop,AUS,1970,12.79303400000000000
rgdpe,AUS,1980,349085.78125000000000000
pop,AUS,1980,14.58840500000000000
rgdpe,AUS,1990,491977.81250000000000000
pop,AUS,1990,16.96059700000000000
rgdpe,AUS,2000,729098.93750000000000000
pop,AUS,2000,18.99143100000000000
rgdpe,AUS,2010,1038249.75000000000000000
pop,AUS,2010,22.15467900000000000
rgdpe,AUS,2017,1240334.37500000000000000
pop,AUS,2017,24.58462000000000000
rgdpe,AUT,1950,40357.28906250000000000
pop,AUT,1950,6.98075136783072000
rgdpe,AUT,1960,71715.84375000000000000
pop,AUT,1960,7.09382795538466000
rgdpe,AUT,1970,111881.24218750000000000
pop,AUT,1970,7.51623900000000000
rgdpe,AUT,1980,152980.46875000000000000
pop,AUT,1980,7.60975200000000000
rgdpe,AUT,1990,208007.23437500000000000
pop,AUT,1990,7.72394900000000000
rgdpe,AUT,2000,314579.68750000000000000
pop,AUT,2000,8.06927600000000000
rgdpe,AUT,2010,392208.28125000000000000
pop,AUT,2010,8.40994900000000000
rgdpe,AUT,2017,480926.90625000000000000
pop,AUT,2017,8.81990100000000000
rgdpe,AZE,1990,57294.92968750000000000
pop,AZE,1990,7.24276100000000000
rgdpe,AZE,2000,23163.61718750000000000
pop,AZE,2000,8.12274100000000000
rgdpe,AZE,2010,132335.04687500000000000
pop,AZE,2010,9.03246100000000000
rgdpe,AZE,2017,146868.15625000000000000
pop,AZE,2017,9.84532000000000000
rgdpe,BDI,1960,2000.56591796875000000
pop,BDI,1960,2.78115950496095000
rgdpe,BDI,1970,2837.25878906250000000
pop,BDI,1970,3.47907400000000000
rgdpe,BDI,1980,3710.95092773438000000
pop,BDI,1980,4.15729800000000000
